customerID, gender, SeniorCitizen, Partner, Dependents, tenure, PhoneService, MultipleLines   , InternetService, OnlineSecurity     , OnlineBackup       , DeviceProtection   , TechSupport        , StreamingTV        , StreamingMovies    , Contract      , PaperlessBilling, PaymentMethod            , MonthlyCharges, TotalCharges, Churn, PredictedChurn
6614-YWYSC, Male  ,1, Yes    , No        ,61, Yes         , Yes             , No             , No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, Two year      , No              , Bank transfer (automatic),25,1501.75, No   ,0
9546-KDTRB, Female,0, No     , No        ,19, Yes         , Yes             , No             , No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, Month-to-month, No              , Bank transfer (automatic),24.7,465.85, No   ,0
0871-URUWO, Male  ,0, Yes    , No        ,13, Yes         , Yes             , Fiber optic    , No                 , No                 , Yes                , No                 , Yes                , Yes                , Month-to-month, Yes             , Credit card (automatic)  ,102.25,1359, Yes  ,1
5151-HQRDG, Male  ,0, Yes    , No        ,37, Yes         , Yes             , DSL            , Yes                , No                 , No                 , No                 , No                 , No                 , Month-to-month, Yes             , Mailed check             ,55.05,2030.75, No   ,0
6624-JDRDS, Female,0, No     , No        ,6, No          , No phone service, DSL            , Yes                , No                 , No                 , No                 , No                 , No                 , Month-to-month, No              , Bank transfer (automatic),29.45,161.45, No   ,0
3082-VQXNH, Male  ,0, Yes    , No        ,3, No          , No phone service, DSL            , No                 , Yes                , No                 , No                 , No                 , No                 , Month-to-month, No              , Credit card (automatic)  ,29.8,94.4, No   ,1
1309-XGFSN, Male  ,1, Yes    , Yes       ,52, Yes         , Yes             , DSL            , No                 , Yes                , Yes                , No                 , Yes                , Yes                , One year      , Yes             , Electronic check         ,80.85,4079.55, No   ,0
9402-ORRAH, Female,1, No     , No        ,15, Yes         , No              , Fiber optic    , No                 , No                 , No                 , No                 , Yes                , Yes                , Month-to-month, Yes             , Electronic check         ,91.5,1400.3, No   ,1
8663-UPDGF, Female,0, No     , No        ,26, Yes         , Yes             , DSL            , Yes                , Yes                , No                 , No                 , Yes                , No                 , Month-to-month, Yes             , Bank transfer (automatic),69.5,1800.05, No   ,0
0455-ENTCR, Male  ,0, Yes    , No        ,66, Yes         , Yes             , DSL            , Yes                , Yes                , No                 , Yes                , Yes                , Yes                , Two year      , No              , Electronic check         ,85.25,5538.35, No   ,0
2038-OEQZH, Male  ,0, No     , No        ,4, Yes         , No              , Fiber optic    , No                 , No                 , Yes                , No                 , No                 , Yes                , Month-to-month, No              , Electronic check         ,86.05,308.1, No   ,1
7993-PYKOF, Male  ,0, Yes    , No        ,8, Yes         , No              , Fiber optic    , Yes                , No                 , No                 , No                 , No                 , No                 , Month-to-month, No              , Electronic check         ,75,632.95, Yes  ,1
4361-FEBGN, Male  ,0, No     , No        ,48, Yes         , No              , No             , No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, Two year      , No              , Credit card (automatic)  ,20.15,982.95, No   ,0
3898-BSJYF, Female,0, No     , Yes       ,10, Yes         , Yes             , DSL            , Yes                , No                 , Yes                , Yes                , No                 , Yes                , One year      , No              , Credit card (automatic)  ,73.55,693.3, No   ,0
8869-LIHMK, Female,0, No     , No        ,64, Yes         , Yes             , Fiber optic    , Yes                , Yes                , Yes                , Yes                , Yes                , Yes                , Two year      , Yes             , Bank transfer (automatic),115.1,7334.05, No   ,0
5482-VXSXJ, Male  ,0, No     , No        ,22, Yes         , No              , Fiber optic    , No                 , Yes                , No                 , No                 , Yes                , Yes                , Month-to-month, Yes             , Mailed check             ,93.2,2157.3, No   ,1
9497-QCMMS, Male  ,1, No     , No        ,1, Yes         , Yes             , Fiber optic    , No                 , No                 , No                 , No                 , Yes                , Yes                , Month-to-month, Yes             , Electronic check         ,93.55,93.55, Yes  ,1
